publication_date,report_date,country,province,health_zone,confirmed_cases,probable_cases,confirmed_deaths,total_cases,total_deaths,total_suspected_cases,new_deaths,new_cured,total_cured,new_suspected_cases,old_suspected_cases,confirmed_cases_change,probable_cases_change,total_cases_change,confirmed_deaths_change,total_deaths_change,total_suspected_cases_change,source
2019-08-08,2019-08-07,COD,Ituri,Mambasa,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,Ituri,Mandima,238,4,126,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,Ituri,Nyankunde,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,Ituri,Rwampara,8,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,Ituri,Tchomia,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-07,2019-08-06,COD,North Kivu,Alimbongo,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Beni,603,9,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Biena,16,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Butembo,265,1,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Goma,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Kalunguta,135,14,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Katwa,627,16,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,#N/A,Kayna,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Kyondo,20,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Lubero,31,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Mabalako,365,16,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Mangurujipa,18,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Masereka,49,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Musienene,74,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Mutwanga,16,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Nyiragongo,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Oicha,51,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,North Kivu,Vuhovi,101,13,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,Ituri,Ariwara,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,Ituri,Bunia,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,Ituri,Komanda,36,9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,Ituri,Mambasa,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,Ituri,Mandima,237,4,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,Ituri,Nyankunde,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,Ituri,Rwampara,8,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-07,2019-08-06,COD,Ituri,Tchomia,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°353
2019-08-05,2019-08-04,COD,North Kivu,Alimbongo,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Beni,594,9,381,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,3,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Biena,16,1,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Butembo,264,1,304,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Goma,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Kalunguta,136,14,57,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Katwa,627,16,434,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,#N/A,Kayna,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Kyondo,20,2,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Lubero,31,2,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Mabalako,365,16,262,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Mangurujipa,18,0,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Masereka,49,6,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Musienene,73,1,29,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Mutwanga,16,0,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Nyiragongo,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Oicha,51,0,24,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,North Kivu,Vuhovi,101,13,35,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,Ituri,Ariwara,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,Ituri,Bunia,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,Ituri,Komanda,36,9,17,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,Ituri,Mambasa,7,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,Ituri,Mandima,231,4,123,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,Ituri,Nyankunde,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,Ituri,Rwampara,8,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-05,2019-08-04,COD,Ituri,Tchomia,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°351
2019-08-04,2019-08-03,COD,North Kivu,Alimbongo,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Beni,592,9,378,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Biena,16,1,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Butembo,262,1,303,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Goma,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Kalunguta,136,14,57,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Katwa,624,16,434,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,#N/A,Kayna,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Kyondo,20,2,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Lubero,31,2,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Mabalako,365,16,261,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Mangurujipa,18,0,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Masereka,49,6,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Musienene,73,1,29,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Mutwanga,16,0,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Nyiragongo,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Oicha,51,0,24,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,North Kivu,Vuhovi,101,13,35,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,Ituri,Ariwara,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,Ituri,Bunia,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,Ituri,Komanda,36,9,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,Ituri,Mambasa,7,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,Ituri,Mandima,228,4,123,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,Ituri,Nyankunde,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,Ituri,Rwampara,8,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-04,2019-08-03,COD,Ituri,Tchomia,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°350
2019-08-03,2019-08-02,COD,North Kivu,Alimbongo,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Beni,588,9,377,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,4,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Biena,16,1,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Butembo,262,1,302,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Goma,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Kalunguta,134,14,56,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Katwa,624,16,434,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,#N/A,Kayna,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Kyondo,20,2,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Lubero,31,2,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Mabalako,365,16,261,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Mangurujipa,18,0,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Masereka,49,6,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Musienene,73,1,29,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Mutwanga,16,0,8,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Nyiragongo,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Oicha,50,0,24,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,North Kivu,Vuhovi,101,13,35,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,Ituri,Ariwara,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,Ituri,Bunia,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,Ituri,Komanda,36,9,15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,Ituri,Mambasa,7,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,Ituri,Mandima,223,4,122,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,Ituri,Nyankunde,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,Ituri,Rwampara,8,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-03,2019-08-02,COD,Ituri,Tchomia,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°349
2019-08-02,2019-08-01,COD,North Kivu,Alimbongo,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Beni,583,9,373,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,5,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Biena,16,1,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Butembo,260,1,301,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Goma,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Kalunguta,134,14,56,NA,NA,NA,NA,NA,NA,NA,NA,2,-1,NA,2,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Katwa,624,16,434,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,#N/A,Kayna,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Kyondo,20,2,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Lubero,31,2,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Mabalako,364,16,261,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,-1,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Mangurujipa,18,0,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Masereka,49,6,16,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
2019-08-02,2019-08-01,COD,North Kivu,Musienene,73,1,29,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°348
